Generation,Best_Fitness,Median_Fitness,Worst_Fitness
1,4261347841,1050084025,300304
2,4285535296,2998657600,28697449
3,4128576516,3238520464,4293184
4,4143110689,3241366489,108347281
5,4208506129,3220789504,6765201
6,4227730441,3259039744,86007076
7,4289726016,3337141824,7862416
8,4289726016,3339568521,317980224
9,4293787729,3491391744,3392964
10,4289726016,3483478441,74805201
11,4287761361,3514236961,94167616
12,4287630400,3491628100,289816576
13,4286713729,3523965769,776068164
14,4238791236,3580705921,232562500
15,4246216569,3654323401,500059044
16,4283178916,3578671684,480661776
17,4283178916,3750705049,1012036
18,4292608324,3673087236,75724804
19,4294705156,3693600625,332843536
20,4294705156,3774382096,358042084
21,4294705156,3795792100,143185156
22,4293656676,3826288449,814645764
23,4288023289,3822948900,669877924
24,4284357025,3824432964,291897225
25,4250127249,3824432964,293436900
26,4247259241,3851567721,31967716
27,4271668164,3490328241,390971529
28,4287499441,3806273025,787251364
29,4278468100,3677452164,174372025
30,4290512004,3549418929,29669809
31,4279514724,3549418929,10484644
32,4265526721,3513288529,148108900
33,4273498384,3678543801,382554481
34,4274936689,3670784569,208600249
35,4219671681,3669815241,320517409
36,4238661025,3604561444,9431041
37,4229681296,3604201225,157000900
38,4282262721,3624642025,429442729
39,4282262721,3772416400,458773561
40,4281215761,3670784569,423577561
41,4278598921,3691899121,990025
42,4292608324,3685704100,25553025
43,4290250000,3728934225,445843225
44,4280168929,3798749956,710435716
45,4282524481,3949368336,219750976
46,4292739361,3987291025,220344336
47,4292477289,3897130329,219306481
48,4287761361,4001954121,51294244
49,4292346256,3984891876,591462400
50,4291822144,4049922321,273406225
51,4291822144,4040382096,125216100
52,4291822144,3988427716,599172484
53,4293918784,3873568644,237591396
54,4294049841,3971646441,41783296
55,4285273444,3727224601,571210000
56,4265526721,3687889984,543589225
57,4282262721,3699315684,669205161
58,4285404369,3684004416,785736961
59,4291560100,3666665809,148766809
60,4291560100,3800106025,406022500
61,4286451841,3771679396,5527201
62,4286451841,3802325569,561026596
63,4286320900,3649730569,461304484
64,4294180900,3649609744,467813641
65,4294180900,3771433744,939177316
66,4293656676,3798380161,46403344
67,4293656676,3842016256,689430049
68,4293656676,3839289444,528264256
69,4293132484,3953768641,378341401
70,4291560100,3957919744,686859264
71,4287237529,3726125764,22896225
72,4281608356,3704183044,485320900
73,4287892324,3699072400,451350025
74,4285928089,3891513924,756360004
75,4286975625,3889767424,563967504
76,4284487936,3861255321,599809081
77,4288023289,3861255321,190053796
78,4274282884,3816644841,249387264
79,4274282884,3855168100,217149696
80,4246086244,3755483524,166306816
81,4253648400,3796901161,151757761
82,4274936689,3841520400,188210961
83,4294311961,3809852176,128142400
84,4281215761,3839909089,136352329
85,4290119001,3792465889,348009025
86,4289988004,3908625361,782209024
87,4288416196,3761368900,709529769
88,4282917136,3806890000,55413136
89,4281608356,3758548249,90003169
90,4282000969,3548704041,97812100
91,4277814025,3562179856,12716356
92,4276898404,3812568516,82901025
93,4277944836,3835324900,114875524
94,4285142521,3822825241,120582361
95,4293525625,3697977721,562211521
96,4293394576,3730644241,425761956
97,4288416196,3796408225,432057796
98,4293001441,3796408225,9072144
99,4293787729,3728567844,89889361
100,4293787729,3729544900,80658361
